         Deformacion;     Fuerza
  1,296798706055e+00;  4,924022674561e+01
  1,284287810326e+00;  4,685662841797e+01
  1,272208809853e+00;  4,455247879028e+01
  1,262108206749e+00;  4,271754074097e+01
  1,252042412758e+00;  4,093843078613e+01
  1,239594221115e+00;  3,879013824463e+01
  1,229416847229e+00;  3,711054992676e+01
  1,219267487526e+00;  3,548050308228e+01
  1,206833243370e+00;  3,354634475708e+01
  1,194433808327e+00;  3,167048645020e+01
  1,184312224388e+00;  3,020851325989e+01
  1,174699187279e+00;  2,887354469299e+01
  1,169962286949e+00;  2,831115913391e+01
  1,164703011513e+00;  2,764541053772e+01
  1,156789660454e+00;  2,684779739380e+01
  1,154860138893e+00;  2,689570045471e+01
  1,154247164726e+00;  2,705543518066e+01
  1,154072999954e+00;  2,723981475830e+01
  1,157117128372e+00;  2,841870498657e+01
  1,167357087135e+00;  3,052206802368e+01
  1,178781270981e+00;  3,298753738403e+01
  1,190532803535e+00;  3,544039535522e+01
  1,200668334961e+00;  3,741535949707e+01
  1,212977170944e+00;  3,984118652344e+01
  1,225411415100e+00;  4,225262451172e+01
  1,237950205803e+00;  4,465844345093e+01
  1,248036980629e+00;  4,654313278198e+01
  1,260241270065e+00;  4,890105056763e+01
  1,270376801491e+00;  5,077964019775e+01
  1,282636880875e+00;  5,312344360352e+01
  1,295196533203e+00;  5,552353286743e+01
  1,305422544479e+00;  5,745905685425e+01
  1,317592144012e+00;  5,985770416260e+01
  1,328034162521e+00;  6,181078338623e+01
  1,338141679764e+00;  6,374147796631e+01
  1,350276470184e+00;  6,611476135254e+01
  1,360607028008e+00;  6,803513336182e+01
  1,372790455818e+00;  7,042126464844e+01
  1,385245561600e+00;  7,278314208984e+01
  1,395367145538e+00;  7,464965057373e+01
  1,405293703079e+00;  7,638815307617e+01
  1,410009622574e+00;  7,711355590820e+01
  1,415498852730e+00;  7,794438934326e+01
  1,423342466354e+00;  7,870432281494e+01
  1,425522804260e+00;  7,835880279541e+01
  1,424143552780e+00;  7,693214416504e+01
  1,412914395332e+00;  7,373449707031e+01
  1,401162862778e+00;  7,041268920898e+01
  1,389237165451e+00;  6,723321533203e+01
  1,379150390625e+00;  6,475962066650e+01
  1,367085337639e+00;  6,180346679688e+01
  1,354560494423e+00;  5,895352172852e+01
  1,344320535660e+00;  5,672931671143e+01
  1,332060456276e+00;  5,403885269165e+01
